year,ln_alpha,region,pfma
1980,1.13742604,Haida Gwaii,Area 2E
1981,1.163010683,Haida Gwaii,Area 2E
1982,1.084868306,Haida Gwaii,Area 2E
1983,1.034381261,Haida Gwaii,Area 2E
1984,1.006753913,Haida Gwaii,Area 2E
1985,1.039170669,Haida Gwaii,Area 2E
1986,0.827192542,Haida Gwaii,Area 2E
1987,0.775141412,Haida Gwaii,Area 2E
1988,0.930174024,Haida Gwaii,Area 2E
1989,1.161947487,Haida Gwaii,Area 2E
1990,1.218330401,Haida Gwaii,Area 2E
1991,1.174393235,Haida Gwaii,Area 2E
1992,1.012470327,Haida Gwaii,Area 2E
1993,0.965312594,Haida Gwaii,Area 2E
1994,1.089654858,Haida Gwaii,Area 2E
1995,1.331987642,Haida Gwaii,Area 2E
1996,1.289208734,Haida Gwaii,Area 2E
1997,1.382038843,Haida Gwaii,Area 2E
1998,1.541372812,Haida Gwaii,Area 2E
1999,1.60040922,Haida Gwaii,Area 2E
2000,1.621164401,Haida Gwaii,Area 2E
2001,1.744593997,Haida Gwaii,Area 2E
2002,1.663282664,Haida Gwaii,Area 2E
2003,1.437186042,Haida Gwaii,Area 2E
2004,1.32020809,Haida Gwaii,Area 2E
2005,1.302868034,Haida Gwaii,Area 2E
2006,1.495662361,Haida Gwaii,Area 2E
2007,1.405142936,Haida Gwaii,Area 2E
2008,1.361519687,Haida Gwaii,Area 2E
2009,1.260544778,Haida Gwaii,Area 2E
2010,1.322038488,Haida Gwaii,Area 2E
2011,1.319562716,Haida Gwaii,Area 2E
2012,1.255921766,Haida Gwaii,Area 2E
2013,1.044252828,Haida Gwaii,Area 2E
2014,1.080632166,Haida Gwaii,Area 2E
2015,1.008041044,Haida Gwaii,Area 2E
2016,0.998817582,Haida Gwaii,Area 2E
1980,1.564027708,Nass,Area 3
1981,1.837280392,Nass,Area 3
1982,2.343301938,Nass,Area 3
1983,2.269310069,Nass,Area 3
1984,1.458363364,Nass,Area 3
1985,1.140282318,Nass,Area 3
1986,1.787302018,Nass,Area 3
1987,1.902307277,Nass,Area 3
1988,1.845754053,Nass,Area 3
1989,1.836904589,Nass,Area 3
1990,1.716879939,Nass,Area 3
1991,2.135191962,Nass,Area 3
1992,1.508319461,Nass,Area 3
1993,1.492689289,Nass,Area 3
1994,0.928116507,Nass,Area 3
1995,1.434834841,Nass,Area 3
1996,1.574046171,Nass,Area 3
1997,2.297716638,Nass,Area 3
1998,2.112543068,Nass,Area 3
1999,1.866823096,Nass,Area 3
2000,2.0405578,Nass,Area 3
2001,2.131041407,Nass,Area 3
2002,2.147458088,Nass,Area 3
2003,1.66796608,Nass,Area 3
2004,1.498936854,Nass,Area 3
2005,1.776681753,Nass,Area 3
2006,2.011848038,Nass,Area 3
2007,1.638037253,Nass,Area 3
2008,1.682580717,Nass,Area 3
2009,2.155703675,Nass,Area 3
2010,2.338553807,Nass,Area 3
2011,2.250131121,Nass,Area 3
2012,2.007561842,Nass,Area 3
2013,2.362661408,Nass,Area 3
2014,2.300511569,Nass,Area 3
2015,1.596433966,Nass,Area 3
2016,1.638699519,Nass,Area 3
1980,1.613653524,Skeena,Area 4
1981,1.788301393,Skeena,Area 4
1982,2.075195525,Skeena,Area 4
1983,2.031588606,Skeena,Area 4
1984,1.491321055,Skeena,Area 4
1985,1.136086459,Skeena,Area 4
1986,1.764402377,Skeena,Area 4
1987,2.088968821,Skeena,Area 4
1988,2.11380422,Skeena,Area 4
1989,1.911994491,Skeena,Area 4
1990,1.674625506,Skeena,Area 4
1991,1.743963391,Skeena,Area 4
1992,1.009983282,Skeena,Area 4
1993,1.166832844,Skeena,Area 4
1994,0.746119212,Skeena,Area 4
1995,1.339327845,Skeena,Area 4
1996,1.401208987,Skeena,Area 4
1997,1.969805244,Skeena,Area 4
1998,1.404252085,Skeena,Area 4
1999,1.157097355,Skeena,Area 4
2000,1.294967127,Skeena,Area 4
2001,1.360123238,Skeena,Area 4
2002,1.34333538,Skeena,Area 4
2003,1.077412029,Skeena,Area 4
2004,1.054713366,Skeena,Area 4
2005,1.30187946,Skeena,Area 4
2006,1.771498186,Skeena,Area 4
2007,1.565261973,Skeena,Area 4
2008,1.378586311,Skeena,Area 4
2009,1.352346211,Skeena,Area 4
2010,1.571865507,Skeena,Area 4
2011,1.583492179,Skeena,Area 4
2012,1.255484966,Skeena,Area 4
2013,1.184843724,Skeena,Area 4
2014,1.05244704,Skeena,Area 4
2015,0.280500534,Skeena,Area 4
2016,0.404046853,Skeena,Area 4
1980,1.406928415,Hecate Lowlands,Area 5-6
1981,1.498068254,Hecate Lowlands,Area 5-6
1982,1.502910324,Hecate Lowlands,Area 5-6
1983,1.383987396,Hecate Lowlands,Area 5-6
1984,0.933498417,Hecate Lowlands,Area 5-6
1985,1.168652537,Hecate Lowlands,Area 5-6
1986,1.42236811,Hecate Lowlands,Area 5-6
1987,1.295071902,Hecate Lowlands,Area 5-6
1988,1.351374152,Hecate Lowlands,Area 5-6
1989,1.606275182,Hecate Lowlands,Area 5-6
1990,1.520083198,Hecate Lowlands,Area 5-6
1991,1.642379913,Hecate Lowlands,Area 5-6
1992,1.043440824,Hecate Lowlands,Area 5-6
1993,1.099513172,Hecate Lowlands,Area 5-6
1994,1.134099941,Hecate Lowlands,Area 5-6
1995,1.606848835,Hecate Lowlands,Area 5-6
1996,1.039089198,Hecate Lowlands,Area 5-6
1997,1.724851844,Hecate Lowlands,Area 5-6
1998,2.196528549,Hecate Lowlands,Area 5-6
1999,2.230439723,Hecate Lowlands,Area 5-6
2000,1.78951497,Hecate Lowlands,Area 5-6
2001,1.598819611,Hecate Lowlands,Area 5-6
2002,1.347450577,Hecate Lowlands,Area 5-6
2003,0.520148881,Hecate Lowlands,Area 5-6
2004,0.36046834,Hecate Lowlands,Area 5-6
2005,0.796313892,Hecate Lowlands,Area 5-6
2006,1.576531583,Hecate Lowlands,Area 5-6
2007,1.735388939,Hecate Lowlands,Area 5-6
2008,1.549057764,Hecate Lowlands,Area 5-6
2009,1.165290791,Hecate Lowlands,Area 5-6
2010,0.90346126,Hecate Lowlands,Area 5-6
2011,0.613017894,Hecate Lowlands,Area 5-6
2012,0.514227913,Hecate Lowlands,Area 5-6
2013,0.513988158,Hecate Lowlands,Area 5-6
2014,0.622419059,Hecate Lowlands,Area 5-6
2015,0.002594409,Hecate Lowlands,Area 5-6
2016,-0.143483682,Hecate Lowlands,Area 5-6
1980,1.507980658,Inner Waters,Area 6 - Inner
1981,1.530815666,Inner Waters,Area 6 - Inner
1982,1.47220774,Inner Waters,Area 6 - Inner
1983,1.462548638,Inner Waters,Area 6 - Inner
1984,0.958129441,Inner Waters,Area 6 - Inner
1985,1.099490801,Inner Waters,Area 6 - Inner
1986,1.442944571,Inner Waters,Area 6 - Inner
1987,1.331495545,Inner Waters,Area 6 - Inner
1988,0.994388266,Inner Waters,Area 6 - Inner
1989,1.216362557,Inner Waters,Area 6 - Inner
1990,1.02046222,Inner Waters,Area 6 - Inner
1991,1.118652647,Inner Waters,Area 6 - Inner
1992,0.057788341,Inner Waters,Area 6 - Inner
1993,0.167927636,Inner Waters,Area 6 - Inner
1994,0.274891867,Inner Waters,Area 6 - Inner
1995,0.702232264,Inner Waters,Area 6 - Inner
1996,1.245884138,Inner Waters,Area 6 - Inner
1997,2.257659203,Inner Waters,Area 6 - Inner
1998,1.998818869,Inner Waters,Area 6 - Inner
1999,1.869345055,Inner Waters,Area 6 - Inner
2000,1.625731423,Inner Waters,Area 6 - Inner
2001,1.932537538,Inner Waters,Area 6 - Inner
2002,1.704100575,Inner Waters,Area 6 - Inner
2003,1.158410896,Inner Waters,Area 6 - Inner
2004,1.139634313,Inner Waters,Area 6 - Inner
2005,1.558809526,Inner Waters,Area 6 - Inner
2006,1.935097813,Inner Waters,Area 6 - Inner
2007,1.099927677,Inner Waters,Area 6 - Inner
2008,1.284941172,Inner Waters,Area 6 - Inner
2009,1.454602005,Inner Waters,Area 6 - Inner
2010,1.487851122,Inner Waters,Area 6 - Inner
2011,1.293781797,Inner Waters,Area 6 - Inner
2012,1.336168307,Inner Waters,Area 6 - Inner
2013,1.404079761,Inner Waters,Area 6 - Inner
2014,1.261659805,Inner Waters,Area 6 - Inner
2015,0.695240612,Inner Waters,Area 6 - Inner
2016,0.847890361,Inner Waters,Area 6 - Inner
1980,1.491153605,Central Coast (South),Area 7-10
1981,1.430876608,Central Coast (South),Area 7-10
1982,1.031161456,Central Coast (South),Area 7-10
1983,0.953981471,Central Coast (South),Area 7-10
1984,0.796659923,Central Coast (South),Area 7-10
1985,0.805429312,Central Coast (South),Area 7-10
1986,1.488990703,Central Coast (South),Area 7-10
1987,1.659794384,Central Coast (South),Area 7-10
1988,1.496163974,Central Coast (South),Area 7-10
1989,1.350707618,Central Coast (South),Area 7-10
1990,1.186864853,Central Coast (South),Area 7-10
1991,1.327312769,Central Coast (South),Area 7-10
1992,0.961604326,Central Coast (South),Area 7-10
1993,0.928588974,Central Coast (South),Area 7-10
1994,0.822197567,Central Coast (South),Area 7-10
1995,1.249139723,Central Coast (South),Area 7-10
1996,1.130701644,Central Coast (South),Area 7-10
1997,1.623567389,Central Coast (South),Area 7-10
1998,1.600396944,Central Coast (South),Area 7-10
1999,1.575643962,Central Coast (South),Area 7-10
2000,1.566873059,Central Coast (South),Area 7-10
2001,1.689586199,Central Coast (South),Area 7-10
2002,1.327958799,Central Coast (South),Area 7-10
2003,0.726063353,Central Coast (South),Area 7-10
2004,0.669782767,Central Coast (South),Area 7-10
2005,0.960272947,Central Coast (South),Area 7-10
2006,1.521036242,Central Coast (South),Area 7-10
2007,1.466234372,Central Coast (South),Area 7-10
2008,1.561933054,Central Coast (South),Area 7-10
