site,data.source,day,month,year,section,distance.m,ch.spawn,ch.hold,ch.live.total,ch.live.est,reliability,pi.spawn,pi.hold,pi.live.total,pi.live.est,reliability,co.live.total,co.live.est,reliability,so.live.total,so.live.est,reliability,ch.bear,ch.wolf,ch.senes,ch.unknown,ch.dead.total,ch.dead.est,pi.bear,pi.wolf,pi.senes,pi.unknown,pi.dead.total,pi.dead.est,co.dead total,co.dead.est,Pink.active.spawning,Chum.active.spawning,Coho.active.spawning,Fish.countability,Sky.brightness,Windy,Precipitation.type,Precipitation.intensity,Bankfull,Water.colour,Stream.visibility,Rational.estimated.live,Rational.estimated.dead,NOTES
Kunsoot North,SFU,24,9,2006,total,,,,20,,,,,0,,,0,,,,,,,,,,10,,,,,,0,,0,,,,,,,,,,,,,,,
Kunsoot North,SFU,28,9,2006,total,,,,6,,,,,0,,,0,,,,,,,,,,15,,,,,,0,,0,,,,,,,,,,,,,,,
Kunsoot North,SFU,15,10,2006,total,,,,0,,,,,0,,,0,,,,,,,,,,9,,,,,,0,,0,,,,,,,,,,,,,,,
Fancy Head,SFU,26,9,2006,total,,,,156,,,,,0,,,0,,,,,,,,,,4,,,,,,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,26,9,2006,total,,,,19,,,,,0,,,3,,,,,,,,,,20,,,,,,0,,0,,,,,,,,,,,,,,,
Fancy Right,SFU,4,10,2006,total,,,,1,,,,,0,,,0,,,,,,,,,,12,,,,,,0,,0,,,,,,,,,,,,,,,
Jane,SFU,25,9,2006,total,,,,9,,,,,0,,,0,,,,,,,,,,4,,,,,,0,,0,,,,,,,,,,,,,,,
Jane,SFU,4,10,2006,total,,,,5,,,,,0,,,0,,,,,,,,,,5,,,,,,0,,0,,,,,,,,,,,,,,,
Roscoe Trib #1,SFU,30,9,2006,total,,,,401,,,,,2,,,0,,,,,,,,,,468,,,,,,0,,0,,,,,,,,,,,,,,,
Roscoe Trib #1,SFU,8,10,2006,total,,,,90,,,,,1,,,0,,,,,,,,,,626,,,,,,0,,0,,,,,,,,,,,,,,,
Codville,SFU,13,10,2006,total,,,,12,,,,,6,,,0,,,,,,,,,,13,,,,,,0,,0,,,,,,,,,,,,,,,
Farm Bay,SFU,29,9,2006,total,,,,0,,,,,0,,,0,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Troupe North,SFU,30,9,2006,total,,,,0,,,,,0,,,0,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Bullock Square,SFU,2,10,2006,total,,,,162,,,,,0,,,0,,,,,,,,,,274,,,,,,0,,0,,,,,,,,,,,,,,,
Spiller Trib.#1,SFU,6,10,2006,total,,,,0,,,,,0,,,0,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Mosquito Left,SFU,6,10,2006,total,,,,21,,,,,0,,,0,,,,,,,,,,66,,,,,,0,,0,,,,,,,,,,,,,,,
Mosquito Left,SFU,16,10,2006,total,,,,0,,,,,0,,,0,,,,,,,,,,75,,,,,,1,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,6,10,2006,total,,,,131,,,,,21,,,1,,,,,,,,,,341,,,,,,17,,0,,,,,,,,,,,,,,,
Mosquito Right,SFU,16,10,2006,total,,,,13,,,,,11,,,0,,,,,,,,,,336,,,,,,12,,2,,,,,,,,,,,,,,,
Deer Pass Lagoon #1,SFU,29,9,2006,total,,,,4,,,,,0,,,0,,,,,,,,,,4,,,,,,0,,0,,,,,,,,,,,,,,,
Deer Pass Lagoon #2,SFU,29,9,2006,total,,,,0,,,,,0,,,0,,,,,,,,,,5,,,,,,0,,0,,,,,,,,,,,,,,,
Bullock 1C,SFU,7,10,2006,total,,,,5,,,,,0,,,0,,,,,,,,,,2,,,,,,0,,0,,,,,,,,,,,,,,,
Bullock Canyon,SFU,2,10,2006,total,,,,206,,,,,1,,,2,,,,,,,,,,318,,,,,,0,,0,,,,,,,,,,,,,,,
Bullock Coldwell,SFU,8,10,2006,total,,,,48,,,,,0,,,0,,,,,,,,,,688,,,,,,0,,0,,,,,,,,,,,,,,,
Cheenis,SFU,7,10,2006,total,,,,170,,,,,20,,,0,,,,,,,,,,605,,,,,,20,,0,,,,,,,,,,,,,,,
Carpenter Pt Left,SFU,13,10,2006,total,,,,0,,,,,0,,,0,,,,,,,,,,0,,,,,,0,,0,,,,,,,,,,,,,,,
Carpenter Pt Right,SFU,13,10,2006,total,,,,0,,,,,0,,,0,,,,,,,,,,18,,,,,,0,,0,,,,,,,,,,,,,,,
