"","Year","Region","Value","Metric","Model"
"1",1980,"Haida Gwaii",0.47777238444497,"Umsy","Time-varying"
"2",1980,"Nass",0.609248194160368,"Umsy","Time-varying"
"3",1980,"Skeena",0.624197337727946,"Umsy","Time-varying"
"4",1980,"Hecate Lowlands",0.567618226428563,"Umsy","Time-varying"
"5",1980,"Inner Waters",0.596059060003718,"Umsy","Time-varying"
"6",1980,"Central Coast (South)",0.591462159145539,"Umsy","Time-varying"
"7",1981,"Haida Gwaii",0.487387764755447,"Umsy","Time-varying"
"8",1981,"Nass",0.681885979145589,"Umsy","Time-varying"
"9",1981,"Skeena",0.670314240497351,"Umsy","Time-varying"
"10",1981,"Hecate Lowlands",0.591943936088222,"Umsy","Time-varying"
"11",1981,"Inner Waters",0.602370857628076,"Umsy","Time-varying"
"12",1981,"Central Coast (South)",0.570844602530236,"Umsy","Time-varying"
"13",1982,"Haida Gwaii",0.455889153158238,"Umsy","Time-varying"
"14",1982,"Nass",0.786792059322091,"Umsy","Time-varying"
"15",1982,"Skeena",0.73446858817834,"Umsy","Time-varying"
"16",1982,"Hecate Lowlands",0.594899876152886,"Umsy","Time-varying"
"17",1982,"Inner Waters",0.585546680272811,"Umsy","Time-varying"
"18",1982,"Central Coast (South)",0.439703303814451,"Umsy","Time-varying"
"19",1983,"Haida Gwaii",0.438560016998068,"Umsy","Time-varying"
"20",1983,"Nass",0.771042394401382,"Umsy","Time-varying"
"21",1983,"Skeena",0.725656589785581,"Umsy","Time-varying"
"22",1983,"Hecate Lowlands",0.558588731411038,"Umsy","Time-varying"
"23",1983,"Inner Waters",0.583084010670794,"Umsy","Time-varying"
"24",1983,"Central Coast (South)",0.406782934189764,"Umsy","Time-varying"
"25",1984,"Haida Gwaii",0.428265408514483,"Umsy","Time-varying"
"26",1984,"Nass",0.579909356874579,"Umsy","Time-varying"
"27",1984,"Skeena",0.590567198236682,"Umsy","Time-varying"
"28",1984,"Hecate Lowlands",0.409596885029479,"Umsy","Time-varying"
"29",1984,"Inner Waters",0.415203831089138,"Umsy","Time-varying"
"30",1984,"Central Coast (South)",0.34927609467702,"Umsy","Time-varying"
