"","year","population","pop_no","stat_area","CU","escapement","er_E","er_2","er_3","total_runE","total_run2","total_run3","age_3","age_4","age_5","rec_E","rec_2","rec_3","RS_E","RS_2","RS_3","logRS1","logRS2","logRS3","Ut","Model","group","region","Smsy","Sgen","Umsy","U_relative"
"1",1980,"aaltanhash",18,6,"northern_coastal",NA,0.447,0.467,0.461,NA,NA,NA,0.714,0.286,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.467,"Time-varying",5,"Inner Waters",330.442459667096,86.7455105447386,0.5852657219977,0.797928158864283
"2",1980,"arnoup",22,6,"hecate_strait_mainland",210,0.407,0.416,0.461,354,360,390,0.854411765,0.141176471,0.004411765,327,331,362,1.555615493,1.576678047,1.722914034,0.441871282751017,0.455320131780084,0.544017063091567,0.416,"Time-varying",4,"Hecate Lowlands",157.064564983948,56.4585691564521,0.503039261379761,0.826973224433764
"3",1980,"babine_fence",40,4,"middle_skeena",5046,0.74,NA,NA,19408,NA,NA,0.752,0.246,0.002,16330,NA,NA,3.236321442,NA,NA,1.17443732739035,NA,NA,0.74,"Time-varying",3,"Skeena",11406.1495866386,2690.76603578111,0.619097197591415,1.19528888658995
"4",1980,"bear",44,4,"upper_skeena",NA,0.74,NA,NA,NA,NA,NA,0.615,0.38,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,"Time-varying",3,"Skeena",1087.75775034109,253.430639515555,0.619861558880211,1.19381495657969
"5",1980,"bella_coola",30,8,"bella_coola_dean",12500,0.457,0.467,0.461,23020,23467,23205,0.945945946,0.054054054,0,51672,52355,51637,4.133774062,4.188410585,4.130993347,1.41919080616176,1.43232132664601,1.4185178979074,0.467,"Time-varying",6,"Central Coast (South)",22379.6101977523,5449.35494302559,0.60984650200381,0.765766464947408
"6",1980,"belowe_ck",1,5,"hecate_strait_mainland",500,0.407,0.416,0.461,843,857,928,0.854411765,0.141176471,0.004411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416,"Time-varying",4,"Hecate Lowlands",135.363772844024,38.5913527171695,0.559637090493052,0.74333886560931
"7",1980,"brim",4,6,"brim_wahoo",750,0.562,0.57,0.461,1712,1746,1392,0.713592233,0.286407767,0,1246,1269,990,1.66143709,1.691852986,1.320037157,0.507682944719209,0.52582436970222,0.277659885444521,0.57,"Time-varying",5,"Inner Waters",593.015352974325,182.01575073137,0.547556754018674,1.04098798127611
"8",1980,"cascade",29,8,"northern_coastal",50,0.447,0.467,0.461,90,94,93,0.714,0.286,0,206,215,212,4.126466292,4.292107307,4.238444958,1.4174214213513,1.45677782608686,1.44419644678405,0.467,"Time-varying",6,"Central Coast (South)",139.030272153659,32.233264226883,0.625968287401812,0.746044183705157
"9",1980,"chuckwalla",32,9,"rivers_inlet",300,0.348,0.364,0.461,460,472,557,0.794,0.206,0,3986,4075,4905,13.28645957,13.58259193,16.35006867,2.58674543919125,2.60878896768863,2.79423209733444,0.364,"Time-varying",6,"Central Coast (South)",3827.94883755716,849.838478133372,0.638838887216126,0.569783723696292
"10",1980,"dala",9,6,"northern_coastal",3000,0.447,0.467,0.461,5425,5632,5569,0.714,0.286,0,5211,5394,5322,1.737144725,1.798009697,1.773949065,0.55224280272884,0.586680329249568,0.573208171524797,0.467,"Time-varying",5,"Inner Waters",1722.24949498367,386.255952347018,0.634509263749052,0.73600186266894
"11",1980,"damshilgwit",43,4,"upper_skeena",NA,0.74,NA,NA,NA,NA,NA,0.615,0.38,0.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,"Time-varying",3,"Skeena",1636.40172257178,385.183106605621,0.617939282695133,1.19752865811104
"12",1980,"deena",50,2,"haida_gwaii_east",3000,0.309,NA,NA,4342,NA,NA,0.854,0.141,0.004,3799,NA,NA,1.266176974,NA,NA,0.236002103841704,NA,NA,0.309,"Time-varying",1,"Haida Gwaii",1779.2066653487,724.366443581597,0.455050528763192,0.679045469609383
"13",1980,"diskangieg",47,3,"lower_nass",1200,0.678,NA,NA,3727,NA,NA,0.571,0.426,0.003,2843,NA,NA,2.369228001,NA,NA,0.862564164108219,NA,NA,0.678,"Time-varying",2,"Nass",1581.78262623954,402.048649107739,0.599719858222396,1.13052784680106
"14",1980,"docee",33,10,"smith_inlet",NA,0.348,0.364,0.461,NA,NA,NA,0.775,0.225,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.364,"Time-varying",6,"Central Coast (South)",6357.93513233893,1652.37595214633,0.585329181622544,0.621872292426947
"15",1980,"east_arm",20,6,"hecate_strait_mainland",NA,0.407,0.416,0.461,NA,NA,NA,0.854411765,0.141176471,0.004411765,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.416,"Time-varying",4,"Hecate Lowlands",403.220131143504,115.436213316923,0.559445819258555,0.743593008794549
"16",1980,"ecstall",35,4,"lower_skeena",NA,0.74,NA,NA,NA,NA,NA,0.571,0.426,0.003,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.74,"Time-varying",3,"Skeena",3991.02859429417,926.813769347863,0.620421785013702,1.19273697003347
"17",1980,"elcho",28,8,"northern_coastal",500,0.447,0.467,0.461,904,939,928,0.714,0.286,0,1303,1349,1330,2.605717087,2.697014545,2.660923597,0.957707910645119,0.992145437172342,0.978673279445057,0.467,"Time-varying",6,"Central Coast (South)",629.476288341696,169.056937590131,0.588238123427263,0.793896181497229
"18",1980,"evelyn_ck",11,6,"northern_coastal",50,0.447,0.467,0.461,90,94,93,0.714,0.286,0,432,448,442,8.638300238,8.964364078,8.848597771,2.15620583174878,2.19325717068729,2.18025900251147,0.467,"Time-varying",5,"Inner Waters",265.093117003757,34.158382940474,0.751952984051282,0.62104946706103
"19",1980,"exchamsiks",36,4,"lower_skeena",400,0.74,NA,NA,1538,NA,NA,0.571,0.426,0.003,2266,NA,NA,5.665832237,NA,NA,1.73445379225131,NA,NA,0.74,"Time-varying",3,"Skeena",1632.85688463823,361.271577849051,0.635340702388818,1.16472940772986
"20",1980,"exstew",37,4,"lower_skeena",1500,0.74,NA,NA,5769,NA,NA,0.571,0.426,0.003,2568,NA,NA,1.712055263,NA,NA,0.537694556988289,NA,NA,0.74,"Time-varying",3,"Skeena",1902.11234222351,500.949825622208,0.588130037789829,1.25822514146853
"21",1980,"foch_ck",12,6,"douglas_channel_kitimat",800,0.562,0.57,0.461,1826,1862,1485,0.714,0.286,0,1120,1138,885,1.399883744,1.422885864,1.106074721,0.336389193173201,0.352687107879637,0.100817460492594,0.57,"Time-varying",5,"Inner Waters",451.297129099353,123.391528743311,0.584510950068052,0.975174203209774
